CodigoEscola;CodigoPredioOrigem;Curso;Disciplina;Vagas;Periodo;Professor;SIAPE;DiaSemana;HoraInicio;HoraFim;CodigoSalaFixa
1;1;Bacharelado em Arquivologia;Const do Pensamento Arquivístico;40;1;Joao Marcus Figueiredo Assis;0;3;18;22;91313
1;1;Bacharelado em Arquivologia;Introdução a Arquivologia;40;1;Eliezer Pires da Silva;0;2;18;22;91313
1;1;Bacharelado em Arquivologia;Ética Profissional Arquivística;40;1;Flavio Leal da Silva;0;4;18;20;91313
1;1;Bacharelado em Arquivologia;Método da Pesquisa Arquivística;40;1;Priscila Ribeiro Gomes;0;6;18;22;91313
1;1;Bacharelado em Arquivologia;Memória Cultura e Sociedade;40;1;Igor Silva Gak;0;5;18;22;91313
1;1;Bacharelado em Arquivologia;Arquivologia e Ciência da Informação;40;2;Rosale de Mattos Souza;0;3;18;22;0
1;1;Bacharelado em Arquivologia;Metodologia Científica;40;2;Carmen Irene;0;5;18;22;0
1;1;Bacharelado em Arquivologia;Gestão da Informação Arquivística;40;2;Alexandre Faben;0;6;18;22;0
1;1;Bacharelado em Arquivologia;Administração I;30;2;Ricardo Bezerra;0;3;18;22;0
1;1;Bacharelado em Arquivologia;Classificação de Docs Arquivísticos;40;3;Fernanda Monteiro;0;3;18;22;0
1;1;Bacharelado em Arquivologia;Tópicos Especiais em Arq Comunitarios;30;3;Marcelo Siqueira;0;3;18;20;0
1;1;Bacharelado em Arquivologia;Sem de Arquivística I A Int Arqs e Educ;15;3;Priscila Ribeiro Gomes;1670065;5;18;20;0
1;1;Bacharelado em Arquivologia;Sem de Arquivística II A Int Arqs e Educ;15;3;Priscila Ribeiro Gomes;1670065;5;20;22;0
1;1;Bacharelado em Arquivologia;Avaliacao de Docs  Arquivísticos;40;3;Mariana Lousada;0;2;18;22;0
1;1;Bacharelado em Arquivologia;Arranjo e Descricao de Docs;40;4;Jair Martins de Miranda;0;2;18;22;0
1;1;Bacharelado em Arquivologia;Diplomatica;40;4;Danilo Andre Bueno;0;3;18;22;0
1;1;Bacharelado em Arquivologia;Administração II;30;4;Ricardo Bezerra;0;5;18;22;0
1;1;Bacharelado em Arquivologia;Pesquisa em Arquivística;40;5;Bruno Ferreira Leite;0;3;18;22;0
1;1;Bacharelado em Arquivologia;Paleografia;40;5;Marcelo Siqueira;0;5;18;22;0
1;1;Bacharelado em Arquivologia;Informática Aplicada aos Arqs;40;5;Brenda Rocco;0;2;18;22;0
1;1;Bacharelado em Arquivologia;Gestão de Docs Arquivísticos;40;6;Alexandre Faben;0;5;18;22;0
1;1;Bacharelado em Arquivologia;Trabalho de Conclusão de Curso I;40;6;Joao Marcus Figueiredo Assis;0;4;18;22;0
1;1;Bacharelado em Arquivologia;Organização Prática de Arquivos A;30;7;Jair Martins de Miranda;0;3;18;22;0
1;1;Bacharelado em Arquivologia;Gestão de Serviços Arquivísticos;40;7;Fernanda Monteiro;0;5;18;22;0
1;1;Bacharelado em Arquivologia;Politicas de Acesso a Inf Arquivística;40;8;Rosale de Mattos Souza;0;6;18;22;0
1;1;Bacharelado em Arquivologia;Gestão Eletrônica de Docs Arquivísticos;40;8;Brenda Rocco;0;3;18;22;0
1;1;Bacharelado em Arquivologia;Gestão de Instituições Arquivísticas;20;8;Renato Crivelli;0;5;18;22;0
2;1;Bacharelado em Biblioteconomia;História do Brasil III;60;1;Caroline A Guebert;0;3;18;22;91205
2;1;Bacharelado em Biblioteconomia;Teorias e Práticas Discursivas;50;1;Thalita Cruz;0;2;8;12;91205
2;1;Bacharelado em Biblioteconomia;Fundamentos em Inglês Instr;50;1;Marcello de O Pinto;0;6;18;22;91205
2;1;Bacharelado em Biblioteconomia;Fundamentos da Biblioteconomia;50;1;Camila Silva;0;4;18;22;91205
2;1;Bacharelado em Biblioteconomia;Fundamentos da Biblioteconomia;50;1;Camila Silva;0;4;7;10;91205
2;1;Bacharelado em Biblioteconomia;Lógica;50;1;Vania Azeredo;0;5;18;22;91205
2;1;Bacharelado em Biblioteconomia;Teorias e Práticas Discursivas;90;1;Jose Sena;0;2;18;22;91205
2;1;Bacharelado em Biblioteconomia;Fundamentos de Inglês Instrumental;50;1;Diana Pinto;0;3;8;12;91205
2;1;Bacharelado em Biblioteconomia;Lógica;50;1;Rosana Soarez;0;6;8;12;91205
2;1;Bacharelado em Biblioteconomia;História do Brasil III;60;1;Caroline A Guebert;0;5;8;12;91205
2;1;Bacharelado em Biblioteconomia;História do Livro e das Biblio I;50;2;Kelly Melo;0;4;8;12;0
2;1;Bacharelado em Biblioteconomia;Introdução a Ciência da Informação;50;2;Ana Amelia Martins;0;6;8;12;0
2;1;Bacharelado em Biblioteconomia;Leitura e Interp em Língua Inglesa;30;2;Marcello de O Pinto;0;5;18;22;0
2;1;Bacharelado em Biblioteconomia;Leitura e Interp em Língua Inglesa;30;2;Thais Borges;0;2;8;12;0
2;1;Bacharelado em Biblioteconomia;Fundamentos da Bibliografia e da Doc;70;2;Amanda Salomao;0;4;18;22;0
2;1;Bacharelado em Biblioteconomia;Teoria do conhecimento ;50;2;Nathan Teixeira;0;3;18;22;0
2;1;Bacharelado em Biblioteconomia;Teoria do conhecimento ;50;2;Nathan Teixeira;0;5;8;12;0
2;1;Bacharelado em Biblioteconomia;Normalizacao Documentaria;50;2;Camila Silva;1234567;3;7;10;0
2;1;Bacharelado em Biblioteconomia;Introdução as Ciências Sociais;50;2;Gabriel Bastos;1234567;3;10;13;0
2;1;Bacharelado em Biblioteconomia;Estudos de Usuarios e Comunidades;35;3;Claudia Souza;8910111;2;10;13;0
2;1;Bacharelado em Biblioteconomia;História do Livro e das Biblio II;40;3;Stefanie Freire;0;6;8;12;0
2;1;Bacharelado em Biblioteconomia;Organização do Conhecimento I;45;3;Ludmila Guimaraes;0;3;8;12;0
2;1;Bacharelado em Biblioteconomia;Organização do Conhecimento I;60;3;Thais Lamas;0;6;18;22;0
2;1;Bacharelado em Biblioteconomia;Teoria e Prática do Serv de Ref;35;3;Simone Okuzono;8910111;2;7;10;0
2;1;Bacharelado em Biblioteconomia;Teoria e Prática Disc na Esfera Acadêmica;40;3;Thalita Cruz;0;5;8;12;0
2;1;Bacharelado em Biblioteconomia;História do Livro e das Biblio I;40;3;Stefanie Freire;0;5;18;22;0
2;1;Bacharelado em Biblioteconomia;Introdução a Ciência da Informação;30;3;Geni Chaves;0;2;18;22;0
2;1;Bacharelado em Biblioteconomia;Normalizacao Documentaria;50;3;Thais Lamas;0;3;18;22;0
2;1;Bacharelado em Biblioteconomia;Estudos de Usuarios e Comunidades;35;4;Alex Guizalberth;0;5;18;22;0
2;1;Bacharelado em Biblioteconomia;História do Livro e das Bibliotecas II;30;4;Amanda Salomao;0;2;18;22;0
2;1;Bacharelado em Biblioteconomia;Teoria e Prática do Serv de Ref;35;4;Alex Guizalberth;0;3;18;22;0
2;1;Bacharelado em Biblioteconomia;Organização do Conhecimento II;40;4;Thais Lamas;0;4;18;22;0
2;1;Bacharelado em Biblioteconomia;Organização do Conhecimento II;30;4;Ludmila Guimaraes;0;4;8;12;0
2;1;Bacharelado em Biblioteconomia;Administração I;25;4;Filipe Quelhas;0;6;8;12;0
2;1;Bacharelado em Biblioteconomia;Sentido e Forma da Prod Art;20;5;Renato Rodrigues;0;5;18;22;0
2;1;Bacharelado em Biblioteconomia;Sentido e Forma da Prod Art;10;5;Renato Rodrigues;0;3;8;12;0
