Codigo;Nome;CodigoPredio;Capacidade
91004;IDIOMAS;1;65
91202;202;1;60
91203;203;1;40
91204;204;1;40
91205;205;1;70
91206;206;1;50
91210;210;1;50
91211;211;1;50
91212;212;1;50
91213;213;1;30
91214;214;1;30
91215;215;1;50
91307;307;1;45
91308;308;1;60
91312;312;1;60
91313;313;1;60
91314;314;1;60
91315;315;1;30
91316;316;1;30
91318;318;1;40
92203;203;2;30
92212;212;2;20
95302;302;5;60
95305;305;5;60
95307;307;5;60
95404;404;5;60
95410;410;5;60
96302;302;6;60
96305;305;6;40
96306;306;6;20
96307;307;6;50
